"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Clay County, AL"	"01027"	"2013"	"2013"	Suppressed	13486	Suppressed	Suppressed
	"Clay County, AL"	"01027"	"2014"	"2014"	Suppressed	13552	Suppressed	Suppressed
	"Clay County, AL"	"01027"	"2015"	"2015"	Suppressed	13555	Suppressed	Suppressed
	"Clay County, AL"	"01027"	"2016"	"2016"	Suppressed	13492	Suppressed	Suppressed
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	"2013"	"2013"	Suppressed	14994	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	"2014"	"2014"	Suppressed	15080	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	"2015"	"2015"	Suppressed	15018	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	"2016"	"2016"	Suppressed	14924	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	"2017"	"2017"	Suppressed	14900	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	"2013"	"2013"	Suppressed	50938	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	"2014"	"2014"	Suppressed	50909	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	"2015"	"2015"	Suppressed	51211	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	"2016"	"2016"	Suppressed	51226	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	"2017"	"2017"	Suppressed	51874	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	"2013"	"2013"	Suppressed	54520	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	"2014"	"2014"	Suppressed	54543	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	"2015"	"2015"	Suppressed	54354	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	"2016"	"2016"	Suppressed	54216	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	"2017"	"2017"	Suppressed	54500	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	"2013"	"2013"	Suppressed	12887	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	"2014"	"2014"	Suppressed	12670	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	"2015"	"2015"	Suppressed	12672	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	"2016"	"2016"	Suppressed	12395	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	"2017"	"2017"	Suppressed	12469	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	"2013"	"2013"	Suppressed	10898	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	"2014"	"2014"	Suppressed	10886	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	"2015"	"2015"	Suppressed	10724	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	"2016"	"2016"	Suppressed	10581	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	"2017"	"2017"	Suppressed	10754	Suppressed	Suppressed
	"Covington County, AL"	"01039"	"2013"	"2013"	Suppressed	37886	Suppressed	Suppressed
	"Covington County, AL"	"01039"	"2014"	"2014"	Suppressed	37914	Suppressed	Suppressed
	"Covington County, AL"	"01039"	"2015"	"2015"	Suppressed	37835	Suppressed	Suppressed
	"Covington County, AL"	"01039"	"2016"	"2016"	Suppressed	37458	Suppressed	Suppressed
	"Covington County, AL"	"01039"	"2017"	"2017"	Suppressed	37092	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	"2013"	"2013"	Suppressed	13986	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	"2014"	"2014"	Suppressed	13977	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	"2015"	"2015"	Suppressed	13963	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	Suppressed	13913	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	Suppressed	13871	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	"2013"	"2013"	Suppressed	80811	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	"2014"	"2014"	Suppressed	81289	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	"2015"	"2015"	Suppressed	82005	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	"2016"	"2016"	Suppressed	82471	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	"2017"	"2017"	Suppressed	82755	Suppressed	Suppressed
	"Dale County, AL"	"01045"	"2013"	"2013"	Suppressed	49884	Suppressed	Suppressed
	"Dale County, AL"	"01045"	"2014"	"2014"	Suppressed	49484	Suppressed	Suppressed
	"Dale County, AL"	"01045"	"2015"	"2015"	Suppressed	49565	Suppressed	Suppressed
	"Dale County, AL"	"01045"	"2016"	"2016"	Suppressed	49226	Suppressed	Suppressed
	"Dale County, AL"	"01045"	"2017"	"2017"	Suppressed	49226	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	"2013"	"2013"	Suppressed	41996	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	"2014"	"2014"	Suppressed	41711	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	"2015"	"2015"	Suppressed	41131	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	"2016"	"2016"	Suppressed	40008	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	"2017"	"2017"	Suppressed	39215	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	"2013"	"2013"	Suppressed	71013	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	"2014"	"2014"	Suppressed	71065	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	"2015"	"2015"	Suppressed	71130	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	"2016"	"2016"	Suppressed	70900	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	"2017"	"2017"	Suppressed	71617	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	"2013"	"2013"	Suppressed	80902	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	"2014"	"2014"	Suppressed	80977	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	"2015"	"2015"	Suppressed	81468	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	"2016"	"2016"	Suppressed	81799	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	"2017"	"2017"	Suppressed	81677	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	"2013"	"2013"	Suppressed	37983	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	"2014"	"2014"	Suppressed	37733	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	"2015"	"2015"	Suppressed	37789	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	"2016"	"2016"	Suppressed	37728	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	"2017"	"2017"	Suppressed	37447	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	"2013"	"2013"	Suppressed	103931	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	"2014"	"2014"	Suppressed	103531	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	"2015"	"2015"	Suppressed	103057	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	"2016"	"2016"	Suppressed	102564	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	"2017"	"2017"	15	102755	Unreliable	Unreliable
	"Fayette County, AL"	"01057"	"2013"	"2013"	Suppressed	16909	Suppressed	Suppressed
	"Fayette County, AL"	"01057"	"2014"	"2014"	Suppressed	16874	Suppressed	Suppressed
	"Fayette County, AL"	"01057"	"2015"	"2015"	Suppressed	16759	Suppressed	Suppressed
	"Fayette County, AL"	"01057"	"2016"	"2016"	Suppressed	16546	Suppressed	Suppressed
	"Fayette County, AL"	"01057"	"2017"	"2017"	Suppressed	16468	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	"2013"	"2013"	Suppressed	31532	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	"2014"	"2014"	Suppressed	31601	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	"2015"	"2015"	Suppressed	31696	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	"2016"	"2016"	Suppressed	31628	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	"2017"	"2017"	Suppressed	31495	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	"2013"	"2013"	Suppressed	26727	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	"2014"	"2014"	Suppressed	26712	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	"2015"	"2015"	Suppressed	26777	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	"2016"	"2016"	Suppressed	26614	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	"2017"	"2017"	Suppressed	26421	Suppressed	Suppressed
	"Greene County, AL"	"01063"	"2013"	"2013"	Suppressed	8744	Suppressed	Suppressed
	"Greene County, AL"	"01063"	"2014"	"2014"	Suppressed	8553	Suppressed	Suppressed
	"Greene County, AL"	"01063"	"2015"	"2015"	Suppressed	8479	Suppressed	Suppressed
	"Greene County, AL"	"01063"	"2016"	"2016"	Suppressed	8422	Suppressed	Suppressed
	"Greene County, AL"	"01063"	"2017"	"2017"	Suppressed	8330	Suppressed	Suppressed
	"Hale County, AL"	"01065"	"2013"	"2013"	Suppressed	15406	Suppressed	Suppressed
	"Hale County, AL"	"01065"	"2014"	"2014"	Suppressed	15184	Suppressed	Suppressed
	"Hale County, AL"	"01065"	"2015"	"2015"	Suppressed	15068	Suppressed	Suppressed
	"Hale County, AL"	"01065"	"2016"	"2016"	Suppressed	14952	Suppressed	Suppressed
	"Hale County, AL"	"01065"	"2017"	"2017"	Suppressed	14812	Suppressed	Suppressed
	"Henry County, AL"	"01067"	"2013"	"2013"	Suppressed	17296	Suppressed	Suppressed
	"Henry County, AL"	"01067"	"2014"	"2014"	Suppressed	17190	Suppressed	Suppressed
	"Henry County, AL"	"01067"	"2015"	"2015"	Suppressed	17221	Suppressed	Suppressed
	"Henry County, AL"	"01067"	"2016"	"2016"	Suppressed	17164	Suppressed	Suppressed
	"Henry County, AL"	"01067"	"2017"	"2017"	Suppressed	17147	Suppressed	Suppressed
	"Houston County, AL"	"01069"	"2013"	"2013"	Suppressed	103668	Suppressed	Suppressed
	"Houston County, AL"	"01069"	"2014"	"2014"	Suppressed	104193	Suppressed	Suppressed
	"Houston County, AL"	"01069"	"2015"	"2015"	Suppressed	104173	Suppressed	Suppressed
	"Houston County, AL"	"01069"	"2016"	"2016"	Suppressed	104056	Suppressed	Suppressed
	"Houston County, AL"	"01069"	"2017"	"2017"	Suppressed	104346	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	"2013"	"2013"	Suppressed	52951	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	"2014"	"2014"	Suppressed	52665	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	"2015"	"2015"	Suppressed	52419	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	"2016"	"2016"	Suppressed	52138	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	"2017"	"2017"	Suppressed	51909	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"2013"	"2013"	Suppressed	659479	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"2014"	"2014"	23	660793	3.5	3.4
	"Jefferson County, AL"	"01073"	"2015"	"2015"	38	660367	5.8	6.0
	"Jefferson County, AL"	"01073"	"2016"	"2016"	96	659521	14.6	15.2
	"Jefferson County, AL"	"01073"	"2017"	"2017"	90	659197	13.7	14.5
	"Lamar County, AL"	"01075"	"2013"	"2013"	Suppressed	14236	Suppressed	Suppressed
	"Lamar County, AL"	"01075"	"2014"	"2014"	Suppressed	14086	Suppressed	Suppressed
	"Lamar County, AL"	"01075"	"2015"	"2015"	Suppressed	13886	Suppressed	Suppressed
	"Lamar County, AL"	"01075"	"2016"	"2016"	Suppressed	13918	Suppressed	Suppressed
	"Lamar County, AL"	"01075"	"2017"	"2017"	Suppressed	13946	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	"2013"	"2013"	Suppressed	92797	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	"2014"	"2014"	Suppressed	93096	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	Suppressed	92596	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	Suppressed	92318	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	Suppressed	92538	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	"2013"	"2013"	Suppressed	33587	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	"2014"	"2014"	Suppressed	33477	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	"2015"	"2015"	Suppressed	33115	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	"2016"	"2016"	Suppressed	33244	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	"2017"	"2017"	Suppressed	33049	Suppressed	Suppressed
	"Lee County, AL"	"01081"	"2013"	"2013"	Suppressed	150933	Suppressed	Suppressed
	"Lee County, AL"	"01081"	"2014"	"2014"	Suppressed	154255	Suppressed	Suppressed
	"Lee County, AL"	"01081"	"2015"	"2015"	Suppressed	156993	Suppressed	Suppressed
	"Lee County, AL"	"01081"	"2016"	"2016"	Suppressed	158991	Suppressed	Suppressed
	"Lee County, AL"	"01081"	"2017"	"2017"	Suppressed	161604	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	"2013"	"2013"	Suppressed	88845	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	"2014"	"2014"	Suppressed	90787	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	"2015"	"2015"	Suppressed	91663	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	"2016"	"2016"	Suppressed	92753	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	"2017"	"2017"	Suppressed	94402	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	"2013"	"2013"	Suppressed	10703	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	"2014"	"2014"	Suppressed	10580	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	"2015"	"2015"	Suppressed	10458	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	"2016"	"2016"	Suppressed	10358	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	"2017"	"2017"	Suppressed	10076	Suppressed	Suppressed
	"Macon County, AL"	"01087"	"2013"	"2013"	Suppressed	19688	Suppressed	Suppressed
	"Macon County, AL"	"01087"	"2014"	"2014"	Suppressed	19425	Suppressed	Suppressed
	"Macon County, AL"	"01087"	"2015"	"2015"	Suppressed	19105	Suppressed	Suppressed
	"Macon County, AL"	"01087"	"2016"	"2016"	Suppressed	18963	Suppressed	Suppressed
	"Macon County, AL"	"01087"	"2017"	"2017"	Suppressed	18755	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"2013"	"2013"	Suppressed	346892	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"2014"	"2014"	Suppressed	350299	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"2015"	"2015"	Suppressed	353089	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"2016"	"2016"	Suppressed	356967	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"2017"	"2017"	10	361046	Unreliable	Unreliable
	"Marengo County, AL"	"01091"	"2013"	"2013"	Suppressed	20155	Suppressed	Suppressed
	"Marengo County, AL"	"01091"	"2014"	"2014"	Suppressed	20110	Suppressed	Suppressed
	"Marengo County, AL"	"01091"	"2015"	"2015"	Suppressed	20028	Suppressed	Suppressed
	"Marengo County, AL"	"01091"	"2016"	"2016"	Suppressed	19673	Suppressed	Suppressed
	"Marengo County, AL"	"01091"	"2017"	"2017"	Suppressed	19375	Suppressed	Suppressed
	"Marion County, AL"	"01093"	"2013"	"2013"	Suppressed	30334	Suppressed	Suppressed
	"Marion County, AL"	"01093"	"2014"	"2014"	Suppressed	30271	Suppressed	Suppressed
	"Marion County, AL"	"01093"	"2015"	"2015"	Suppressed	30168	Suppressed	Suppressed
	"Marion County, AL"	"01093"	"2016"	"2016"	Suppressed	29998	Suppressed	Suppressed
	"Marion County, AL"	"01093"	"2017"	"2017"	Suppressed	29833	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	"2013"	"2013"	Suppressed	94760	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	"2014"	"2014"	Suppressed	94636	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	"2015"	"2015"	Suppressed	94725	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	"2016"	"2016"	Suppressed	95157	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	"2017"	"2017"	Suppressed	95548	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"2013"	"2013"	Suppressed	414079	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"2014"	"2014"	Suppressed	415123	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"2015"	"2015"	Suppressed	415395	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"2016"	"2016"	Suppressed	414836	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"2017"	"2017"	Suppressed	413955	Suppressed	Suppressed
	"Monroe County, AL"	"01099"	"2013"	"2013"	Suppressed	22236	Suppressed	Suppressed
	"Monroe County, AL"	"01099"	"2014"	"2014"	Suppressed	21947	Suppressed	Suppressed
	"Monroe County, AL"	"01099"	"2015"	"2015"	Suppressed	21673	Suppressed	Suppressed
	"Monroe County, AL"	"01099"	"2016"	"2016"	Suppressed	21530	Suppressed	Suppressed
	"Monroe County, AL"	"01099"	"2017"	"2017"	Suppressed	21327	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	"2013"	"2013"	Suppressed	226659	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	"2014"	"2014"	Suppressed	226189	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	"2015"	"2015"	Suppressed	226519	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	"2016"	"2016"	Suppressed	226349	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	"2017"	"2017"	Suppressed	226646	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	"2013"	"2013"	Suppressed	119787	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	"2014"	"2014"	Suppressed	119607	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	"2015"	"2015"	Suppressed	119565	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	"2016"	"2016"	Suppressed	119012	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	"2017"	"2017"	Suppressed	118818	Suppressed	Suppressed
	"Perry County, AL"	"01105"	"2013"	"2013"	Suppressed	10020	Suppressed	Suppressed
	"Perry County, AL"	"01105"	"2014"	"2014"	Suppressed	9826	Suppressed	Suppressed
	"Perry County, AL"	"01105"	"2015"	"2015"	Suppressed	9652	Suppressed	Suppressed
	"Perry County, AL"	"01105"	"2016"	"2016"	Suppressed	9574	Suppressed	Suppressed
	"Perry County, AL"	"01105"	"2017"	"2017"	Suppressed	9339	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	"2013"	"2013"	Suppressed	19401	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	"2014"	"2014"	Suppressed	20365	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	"2015"	"2015"	Suppressed	20864	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	"2016"	"2016"	Suppressed	20324	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	"2017"	"2017"	Suppressed	20176	Suppressed	Suppressed
	"Pike County, AL"	"01109"	"2013"	"2013"	Suppressed	33339	Suppressed	Suppressed
	"Pike County, AL"	"01109"	"2014"	"2014"	Suppressed	33389	Suppressed	Suppressed
	"Pike County, AL"	"01109"	"2015"	"2015"	Suppressed	33046	Suppressed	Suppressed
	"Pike County, AL"	"01109"	"2016"	"2016"	Suppressed	33286	Suppressed	Suppressed
	"Pike County, AL"	"01109"	"2017"	"2017"	Suppressed	33267	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	"2013"	"2013"	Suppressed	22727	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	"2014"	"2014"	Suppressed	22539	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	"2015"	"2015"	Suppressed	22696	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	"2016"	"2016"	Suppressed	22652	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	"2017"	"2017"	Suppressed	22670	Suppressed	Suppressed
	"Russell County, AL"	"01113"	"2013"	"2013"	Suppressed	59585	Suppressed	Suppressed
	"Russell County, AL"	"01113"	"2014"	"2014"	Suppressed	59608	Suppressed	Suppressed
	"Russell County, AL"	"01113"	"2015"	"2015"	Suppressed	59660	Suppressed	Suppressed
	"Russell County, AL"	"01113"	"2016"	"2016"	Suppressed	58172	Suppressed	Suppressed
	"Russell County, AL"	"01113"	"2017"	"2017"	Suppressed	57045	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	"2013"	"2013"	Suppressed	86308	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	"2014"	"2014"	Suppressed	86697	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	"2015"	"2015"	Suppressed	87074	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	"2016"	"2016"	Suppressed	88019	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	"2017"	"2017"	Suppressed	88199	Suppressed	Suppressed
