"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Arizona"	"04"	"2002"	"2002"	21	5396255	0.4	0.4
	"Arizona"	"04"	"2003"	"2003"	22	5510364	0.4	0.4
	"Arizona"	"04"	"2004"	"2004"	28	5652404	0.5	0.5
	"Arizona"	"04"	"2005"	"2005"	35	5839077	0.6	0.6
	"Arizona"	"04"	"2006"	"2006"	54	6029141	0.9	0.9
	"Arizona"	"04"	"2007"	"2007"	38	6167681	0.6	0.6
	"Arizona"	"04"	"2008"	"2008"	49	6280362	0.8	0.8
	"Arizona"	"04"	"2009"	"2009"	55	6343154	0.9	0.9
	"Arizona"	"04"	"2010"	"2010"	68	6392017	1.1	1.0
	"Arizona"	"04"	"2011"	"2011"	40	6482505	0.6	0.6
	"Arizona"	"04"	"2012"	"2012"	36	6553255	0.5	0.6
	"Arizona"	"04"	"2013"	"2013"	52	6626624	0.8	0.8
	"Arizona"	"04"	"2014"	"2014"	57	6731484	0.8	0.8
	"Arizona"	"04"	"2015"	"2015"	72	6828065	1.1	1.1
	"Arizona"	"04"	"2016"	"2016"	123	6931071	1.8	1.8
	"Arizona"	"04"	"2017"	"2017"	267	7016270	3.8	4.0
	"Arkansas"	"05"	"1999"	"1999"	Suppressed	2651860	Suppressed	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	Suppressed	2673400	Suppressed	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	Suppressed	2691571	Suppressed	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	24	2705927	0.9	0.9
	"Arkansas"	"05"	"2003"	"2003"	26	2724816	1.0	1.0
	"Arkansas"	"05"	"2004"	"2004"	30	2749686	1.1	1.1
	"Arkansas"	"05"	"2005"	"2005"	26	2781097	0.9	1.0
	"Arkansas"	"05"	"2006"	"2006"	31	2821761	1.1	1.1
	"Arkansas"	"05"	"2007"	"2007"	27	2848650	0.9	1.0
	"Arkansas"	"05"	"2008"	"2008"	43	2874554	1.5	1.6
	"Arkansas"	"05"	"2009"	"2009"	59	2896843	2.0	2.1
	"Arkansas"	"05"	"2010"	"2010"	57	2915918	2.0	2.1
	"Arkansas"	"05"	"2011"	"2011"	29	2937979	1.0	1.0
	"Arkansas"	"05"	"2012"	"2012"	20	2949131	0.7	0.7
	"Arkansas"	"05"	"2013"	"2013"	31	2959373	1.0	1.1
	"Arkansas"	"05"	"2014"	"2014"	32	2966369	1.1	1.2
	"Arkansas"	"05"	"2015"	"2015"	44	2978204	1.5	1.5
	"Arkansas"	"05"	"2016"	"2016"	38	2988248	1.3	1.3
	"Arkansas"	"05"	"2017"	"2017"	68	3004279	2.3	2.2
	"California"	"06"	"1999"	"1999"	87	33499204	0.3	0.3
	"California"	"06"	"2000"	"2000"	68	33871648	0.2	0.2
	"California"	"06"	"2001"	"2001"	31	34479458	0.1	0.1
	"California"	"06"	"2002"	"2002"	117	34871843	0.3	0.3
	"California"	"06"	"2003"	"2003"	119	35253159	0.3	0.4
	"California"	"06"	"2004"	"2004"	140	35574576	0.4	0.4
	"California"	"06"	"2005"	"2005"	123	35827943	0.3	0.3
	"California"	"06"	"2006"	"2006"	154	36021202	0.4	0.4
	"California"	"06"	"2007"	"2007"	138	36250311	0.4	0.4
	"California"	"06"	"2008"	"2008"	155	36604337	0.4	0.4
	"California"	"06"	"2009"	"2009"	201	36961229	0.5	0.5
	"California"	"06"	"2010"	"2010"	205	37253956	0.6	0.5
	"California"	"06"	"2011"	"2011"	164	37691912	0.4	0.4
	"California"	"06"	"2012"	"2012"	146	38041430	0.4	0.4
	"California"	"06"	"2013"	"2013"	176	38332521	0.5	0.4
	"California"	"06"	"2014"	"2014"	194	38802500	0.5	0.5
	"California"	"06"	"2015"	"2015"	229	39144818	0.6	0.5
	"California"	"06"	"2016"	"2016"	355	39250017	0.9	0.9
	"California"	"06"	"2017"	"2017"	536	39536653	1.4	1.3
	"Colorado"	"08"	"1999"	"1999"	21	4226018	0.5	0.5
	"Colorado"	"08"	"2000"	"2000"	25	4301261	0.6	0.6
	"Colorado"	"08"	"2001"	"2001"	19	4425687	Unreliable	Unreliable
	"Colorado"	"08"	"2002"	"2002"	30	4490406	0.7	0.7
	"Colorado"	"08"	"2003"	"2003"	22	4528732	0.5	0.5
	"Colorado"	"08"	"2004"	"2004"	22	4575013	0.5	0.5
	"Colorado"	"08"	"2005"	"2005"	35	4631888	0.8	0.7
	"Colorado"	"08"	"2006"	"2006"	27	4720423	0.6	0.5
	"Colorado"	"08"	"2007"	"2007"	44	4803868	0.9	0.9
	"Colorado"	"08"	"2008"	"2008"	39	4889730	0.8	0.8
	"Colorado"	"08"	"2009"	"2009"	68	4972195	1.4	1.3
	"Colorado"	"08"	"2010"	"2010"	58	5029196	1.2	1.1
	"Colorado"	"08"	"2011"	"2011"	78	5116796	1.5	1.6
	"Colorado"	"08"	"2012"	"2012"	52	5187582	1.0	0.9
	"Colorado"	"08"	"2013"	"2013"	67	5268367	1.3	1.2
	"Colorado"	"08"	"2014"	"2014"	80	5355866	1.5	1.5
	"Colorado"	"08"	"2015"	"2015"	64	5456574	1.2	1.2
	"Colorado"	"08"	"2016"	"2016"	72	5540545	1.3	1.3
	"Colorado"	"08"	"2017"	"2017"	112	5607154	2.0	2.0
	"Connecticut"	"09"	"1999"	"1999"	Suppressed	3386401	Suppressed	Suppressed
	"Connecticut"	"09"	"2000"	"2000"	Suppressed	3405565	Suppressed	Suppressed
	"Connecticut"	"09"	"2001"	"2001"	Suppressed	3432835	Suppressed	Suppressed
	"Connecticut"	"09"	"2002"	"2002"	Suppressed	3458749	Suppressed	Suppressed
	"Connecticut"	"09"	"2003"	"2003"	Suppressed	3484336	Suppressed	Suppressed
	"Connecticut"	"09"	"2004"	"2004"	10	3496094	Unreliable	Unreliable
	"Connecticut"	"09"	"2005"	"2005"	10	3506956	Unreliable	Unreliable
	"Connecticut"	"09"	"2006"	"2006"	11	3517460	Unreliable	Unreliable
	"Connecticut"	"09"	"2007"	"2007"	22	3527270	0.6	0.6
	"Connecticut"	"09"	"2008"	"2008"	16	3545579	Unreliable	Unreliable
	"Connecticut"	"09"	"2009"	"2009"	20	3561807	0.6	0.5
	"Connecticut"	"09"	"2010"	"2010"	22	3574097	0.6	0.6
	"Connecticut"	"09"	"2011"	"2011"	13	3580709	Unreliable	Unreliable
	"Connecticut"	"09"	"2012"	"2012"	15	3590347	Unreliable	Unreliable
	"Connecticut"	"09"	"2013"	"2013"	53	3596080	1.5	1.4
	"Connecticut"	"09"	"2014"	"2014"	94	3596677	2.6	2.7
	"Connecticut"	"09"	"2015"	"2015"	211	3590886	5.9	6.1
	"Connecticut"	"09"	"2016"	"2016"	500	3576452	14.0	14.8
	"Connecticut"	"09"	"2017"	"2017"	686	3588184	19.1	20.3
	"Delaware"	"10"	"1999"	"1999"	Suppressed	774990	Suppressed	Suppressed
	"Delaware"	"10"	"2000"	"2000"	Suppressed	783600	Suppressed	Suppressed
	"Delaware"	"10"	"2001"	"2001"	Suppressed	795699	Suppressed	Suppressed
	"Delaware"	"10"	"2002"	"2002"	Suppressed	806169	Suppressed	Suppressed
	"Delaware"	"10"	"2003"	"2003"	Suppressed	818003	Suppressed	Suppressed
	"Delaware"	"10"	"2004"	"2004"	Suppressed	830803	Suppressed	Suppressed
	"Delaware"	"10"	"2005"	"2005"	Suppressed	845150	Suppressed	Suppressed
	"Delaware"	"10"	"2006"	"2006"	12	859268	Unreliable	Unreliable
	"Delaware"	"10"	"2007"	"2007"	Suppressed	871749	Suppressed	Suppressed
	"Delaware"	"10"	"2008"	"2008"	Suppressed	883874	Suppressed	Suppressed
	"Delaware"	"10"	"2009"	"2009"	19	891730	Unreliable	Unreliable
	"Delaware"	"10"	"2010"	"2010"	14	897934	Unreliable	Unreliable
	"Delaware"	"10"	"2011"	"2011"	13	907135	Unreliable	Unreliable
	"Delaware"	"10"	"2012"	"2012"	17	917092	Unreliable	Unreliable
	"Delaware"	"10"	"2013"	"2013"	22	925749	2.4	2.5
	"Delaware"	"10"	"2014"	"2014"	29	935614	3.1	3.0
	"Delaware"	"10"	"2015"	"2015"	38	945934	4.0	4.3
	"Delaware"	"10"	"2016"	"2016"	79	952065	8.3	8.7
	"Delaware"	"10"	"2017"	"2017"	178	961939	18.5	20.0
	"District of Columbia"	"11"	"1999"	"1999"	Suppressed	570213	Suppressed	Suppressed
	"District of Columbia"	"11"	"2000"	"2000"	Suppressed	572059	Suppressed	Suppressed
	"District of Columbia"	"11"	"2001"	"2001"	Suppressed	574504	Suppressed	Suppressed
	"District of Columbia"	"11"	"2002"	"2002"	Suppressed	573158	Suppressed	Suppressed
	"District of Columbia"	"11"	"2003"	"2003"	Suppressed	568502	Suppressed	Suppressed
	"District of Columbia"	"11"	"2004"	"2004"	Suppressed	567754	Suppressed	Suppressed
	"District of Columbia"	"11"	"2005"	"2005"	Suppressed	567136	Suppressed	Suppressed
	"District of Columbia"	"11"	"2006"	"2006"	Suppressed	570681	Suppressed	Suppressed
	"District of Columbia"	"11"	"2007"	"2007"	Suppressed	574404	Suppressed	Suppressed
	"District of Columbia"	"11"	"2008"	"2008"	Suppressed	580236	Suppressed	Suppressed
	"District of Columbia"	"11"	"2009"	"2009"	Suppressed	592228	Suppressed	Suppressed
	"District of Columbia"	"11"	"2010"	"2010"	Suppressed	601723	Suppressed	Suppressed
	"District of Columbia"	"11"	"2011"	"2011"	Suppressed	617996	Suppressed	Suppressed
	"District of Columbia"	"11"	"2012"	"2012"	Suppressed	632323	Suppressed	Suppressed
	"District of Columbia"	"11"	"2013"	"2013"	Suppressed	646449	Suppressed	Suppressed
	"District of Columbia"	"11"	"2014"	"2014"	13	658893	Unreliable	Unreliable
	"District of Columbia"	"11"	"2015"	"2015"	26	672228	3.9	3.9
	"District of Columbia"	"11"	"2016"	"2016"	129	681170	18.9	19.2
	"District of Columbia"	"11"	"2017"	"2017"	182	693972	26.2	25.7
	"Florida"	"12"	"1999"	"1999"	59	15759421	0.4	0.4
	"Florida"	"12"	"2000"	"2000"	84	15982378	0.5	0.5
	"Florida"	"12"	"2001"	"2001"	117	16356966	0.7	0.7
	"Florida"	"12"	"2002"	"2002"	136	16689370	0.8	0.8
	"Florida"	"12"	"2003"	"2003"	175	17004085	1.0	1.1
	"Florida"	"12"	"2004"	"2004"	160	17415318	0.9	0.9
	"Florida"	"12"	"2005"	"2005"	144	17842038	0.8	0.8
	"Florida"	"12"	"2006"	"2006"	131	18166990	0.7	0.7
	"Florida"	"12"	"2007"	"2007"	137	18367842	0.7	0.7
	"Florida"	"12"	"2008"	"2008"	132	18527305	0.7	0.7
	"Florida"	"12"	"2009"	"2009"	171	18652644	0.9	0.9
	"Florida"	"12"	"2010"	"2010"	146	18801310	0.8	0.8
	"Florida"	"12"	"2011"	"2011"	138	19057542	0.7	0.7
	"Florida"	"12"	"2012"	"2012"	162	19317568	0.8	0.8
	"Florida"	"12"	"2013"	"2013"	200	19552860	1.0	1.0
	"Florida"	"12"	"2014"	"2014"	343	19893297	1.7	1.8
	"Florida"	"12"	"2015"	"2015"	610	20271272	3.0	3.2
	"Florida"	"12"	"2016"	"2016"	1566	20612439	7.6	8.3
	"Florida"	"12"	"2017"	"2017"	2126	20984400	10.1	11.0
	"Georgia"	"13"	"1999"	"1999"	11	8045965	Unreliable	Unreliable
	"Georgia"	"13"	"2000"	"2000"	12	8186453	Unreliable	Unreliable
	"Georgia"	"13"	"2001"	"2001"	27	8377038	0.3	0.3
	"Georgia"	"13"	"2002"	"2002"	36	8508256	0.4	0.4
	"Georgia"	"13"	"2003"	"2003"	36	8622793	0.4	0.4
	"Georgia"	"13"	"2004"	"2004"	35	8769252	0.4	0.4
	"Georgia"	"13"	"2005"	"2005"	47	8925922	0.5	0.5
	"Georgia"	"13"	"2006"	"2006"	57	9155813	0.6	0.6
	"Georgia"	"13"	"2007"	"2007"	65	9349988	0.7	0.7
	"Georgia"	"13"	"2008"	"2008"	57	9504843	0.6	0.6
	"Georgia"	"13"	"2009"	"2009"	83	9620846	0.9	0.9
	"Georgia"	"13"	"2010"	"2010"	103	9687653	1.1	1.0
	"Georgia"	"13"	"2011"	"2011"	86	9815210	0.9	0.9
	"Georgia"	"13"	"2012"	"2012"	61	9919945	0.6	0.6
	"Georgia"	"13"	"2013"	"2013"	80	9992167	0.8	0.8
	"Georgia"	"13"	"2014"	"2014"	174	10097343	1.7	1.7
	"Georgia"	"13"	"2015"	"2015"	284	10214860	2.8	2.8
	"Georgia"	"13"	"2016"	"2016"	277	10310371	2.7	2.7
	"Georgia"	"13"	"2017"	"2017"	419	10429379	4.0	4.1
	"Hawaii"	"15"	"1999"	"1999"	Suppressed	1210300	Suppressed	Suppressed
	"Hawaii"	"15"	"2000"	"2000"	Suppressed	1211537	Suppressed	Suppressed
	"Hawaii"	"15"	"2001"	"2001"	Suppressed	1225948	Suppressed	Suppressed
	"Hawaii"	"15"	"2002"	"2002"	Suppressed	1239613	Suppressed	Suppressed
	"Hawaii"	"15"	"2003"	"2003"	Suppressed	1251154	Suppressed	Suppressed
	"Hawaii"	"15"	"2004"	"2004"	Suppressed	1273569	Suppressed	Suppressed
	"Hawaii"	"15"	"2005"	"2005"	Suppressed	1292729	Suppressed	Suppressed
	"Hawaii"	"15"	"2006"	"2006"	Suppressed	1309731	Suppressed	Suppressed
	"Hawaii"	"15"	"2007"	"2007"	Suppressed	1315675	Suppressed	Suppressed
	"Hawaii"	"15"	"2008"	"2008"	Suppressed	1332213	Suppressed	Suppressed
	"Hawaii"	"15"	"2009"	"2009"	Suppressed	1346717	Suppressed	Suppressed
	"Hawaii"	"15"	"2010"	"2010"	Suppressed	1360301	Suppressed	Suppressed
	"Hawaii"	"15"	"2011"	"2011"	Suppressed	1374810	Suppressed	Suppressed
	"Hawaii"	"15"	"2012"	"2012"	Suppressed	1392313	Suppressed	Suppressed
	"Hawaii"	"15"	"2013"	"2013"	Suppressed	1404054	Suppressed	Suppressed
	"Hawaii"	"15"	"2014"	"2014"	Suppressed	1419561	Suppressed	Suppressed
	"Hawaii"	"15"	"2015"	"2015"	13	1431603	Unreliable	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	Suppressed	1428557	Suppressed	Suppressed
	"Hawaii"	"15"	"2017"	"2017"	Suppressed	1427538	Suppressed	Suppressed
	"Idaho"	"16"	"1999"	"1999"	Suppressed	1275674	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	Suppressed	1293953	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	Suppressed	1319962	Suppressed	Suppressed
	"Idaho"	"16"	"2002"	"2002"	Suppressed	1340372	Suppressed	Suppressed
	"Idaho"	"16"	"2003"	"2003"	Suppressed	1363380	Suppressed	Suppressed
	"Idaho"	"16"	"2004"	"2004"	Suppressed	1391802	Suppressed	Suppressed
	"Idaho"	"16"	"2005"	"2005"	Suppressed	1428241	Suppressed	Suppressed
	"Idaho"	"16"	"2006"	"2006"	Suppressed	1468669	Suppressed	Suppressed
	"Idaho"	"16"	"2007"	"2007"	10	1505105	Unreliable	Unreliable
	"Idaho"	"16"	"2008"	"2008"	Suppressed	1534320	Suppressed	Suppressed
	"Idaho"	"16"	"2009"	"2009"	11	1554439	Unreliable	Unreliable
	"Idaho"	"16"	"2010"	"2010"	14	1567582	Unreliable	Unreliable
	"Idaho"	"16"	"2011"	"2011"	Suppressed	1584985	Suppressed	Suppressed
	"Idaho"	"16"	"2012"	"2012"	11	1595728	Unreliable	Unreliable
	"Idaho"	"16"	"2013"	"2013"	14	1612136	Unreliable	Unreliable
	"Idaho"	"16"	"2014"	"2014"	13	1634464	Unreliable	Unreliable
	"Idaho"	"16"	"2015"	"2015"	16	1654930	Unreliable	Unreliable
	"Idaho"	"16"	"2016"	"2016"	20	1683140	1.2	1.3
	"Idaho"	"16"	"2017"	"2017"	22	1716943	1.3	1.3
	"Illinois"	"17"	"1999"	"1999"	25	12359020	0.2	0.2
	"Illinois"	"17"	"2000"	"2000"	24	12419293	0.2	0.2
	"Illinois"	"17"	"2001"	"2001"	34	12488445	0.3	0.3
	"Illinois"	"17"	"2002"	"2002"	40	12525556	0.3	0.3
	"Illinois"	"17"	"2003"	"2003"	32	12556006	0.3	0.3
	"Illinois"	"17"	"2004"	"2004"	38	12589773	0.3	0.3
	"Illinois"	"17"	"2005"	"2005"	59	12609903	0.5	0.5
	"Illinois"	"17"	"2006"	"2006"	375	12643955	3.0	3.0
	"Illinois"	"17"	"2007"	"2007"	101	12695866	0.8	0.8
	"Illinois"	"17"	"2008"	"2008"	83	12747038	0.7	0.7
	"Illinois"	"17"	"2009"	"2009"	111	12796778	0.9	0.9
	"Illinois"	"17"	"2010"	"2010"	115	12830632	0.9	0.9
	"Illinois"	"17"	"2011"	"2011"	86	12869257	0.7	0.7
	"Illinois"	"17"	"2012"	"2012"	84	12875255	0.7	0.6
	"Illinois"	"17"	"2013"	"2013"	87	12882135	0.7	0.6
	"Illinois"	"17"	"2014"	"2014"	127	12880580	1.0	1.0
	"Illinois"	"17"	"2015"	"2015"	278	12859995	2.2	2.2
	"Illinois"	"17"	"2016"	"2016"	907	12801539	7.1	7.2
	"Illinois"	"17"	"2017"	"2017"	1251	12802023	9.8	9.8
	"Indiana"	"18"	"1999"	"1999"	Suppressed	6044969	Suppressed	Suppressed
	"Indiana"	"18"	"2000"	"2000"	12	6080485	Unreliable	Unreliable
	"Indiana"	"18"	"2001"	"2001"	12	6127760	Unreliable	Unreliable
	"Indiana"	"18"	"2002"	"2002"	Suppressed	6155967	Suppressed	Suppressed
	"Indiana"	"18"	"2003"	"2003"	26	6196638	0.4	0.4
	"Indiana"	"18"	"2004"	"2004"	25	6233007	0.4	0.4
	"Indiana"	"18"	"2005"	"2005"	26	6278616	0.4	0.4
	"Indiana"	"18"	"2006"	"2006"	48	6332669	0.8	0.8
	"Indiana"	"18"	"2007"	"2007"	51	6379599	0.8	0.8
	"Indiana"	"18"	"2008"	"2008"	54	6424806	0.8	0.9
	"Indiana"	"18"	"2009"	"2009"	64	6459325	1.0	1.0
	"Indiana"	"18"	"2010"	"2010"	49	6483802	0.8	0.8
	"Indiana"	"18"	"2011"	"2011"	40	6516922	0.6	0.6
	"Indiana"	"18"	"2012"	"2012"	43	6537334	0.7	0.7
	"Indiana"	"18"	"2013"	"2013"	34	6570902	0.5	0.5
	"Indiana"	"18"	"2014"	"2014"	83	6596855	1.3	1.3
	"Indiana"	"18"	"2015"	"2015"	120	6619680	1.8	1.9
	"Indiana"	"18"	"2016"	"2016"	304	6633053	4.6	4.9
	"Indiana"	"18"	"2017"	"2017"	649	6666818	9.7	10.5
	"Iowa"	"19"	"1999"	"1999"	Suppressed	2917634	Suppressed	Suppressed
	"Iowa"	"19"	"2000"	"2000"	Suppressed	2926324	Suppressed	Suppressed
	"Iowa"	"19"	"2001"	"2001"	Suppressed	2931997	Suppressed	Suppressed
	"Iowa"	"19"	"2002"	"2002"	10	2934234	Unreliable	Unreliable
	"Iowa"	"19"	"2003"	"2003"	12	2941999	Unreliable	Unreliable
	"Iowa"	"19"	"2004"	"2004"	13	2953635	Unreliable	Unreliable
	"Iowa"	"19"	"2005"	"2005"	Suppressed	2964454	Suppressed	Suppressed
	"Iowa"	"19"	"2006"	"2006"	16	2982644	Unreliable	Unreliable
	"Iowa"	"19"	"2007"	"2007"	18	2999212	Unreliable	Unreliable
	"Iowa"	"19"	"2008"	"2008"	25	3016734	0.8	0.8
	"Iowa"	"19"	"2009"	"2009"	35	3032870	1.2	1.2
	"Iowa"	"19"	"2010"	"2010"	43	3046355	1.4	1.5
	"Iowa"	"19"	"2011"	"2011"	29	3062309	0.9	1.0
	"Iowa"	"19"	"2012"	"2012"	36	3074186	1.2	1.3
	"Iowa"	"19"	"2013"	"2013"	32	3090416	1.0	1.0
	"Iowa"	"19"	"2014"	"2014"	29	3107126	0.9	1.0
	"Iowa"	"19"	"2015"	"2015"	44	3123899	1.4	1.5
	"Iowa"	"19"	"2016"	"2016"	58	3134693	1.9	2.0
	"Iowa"	"19"	"2017"	"2017"	92	3145711	2.9	3.2
	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Kansas"	"20"	"2000"	"2000"	Suppressed	2688418	Suppressed	Suppressed
	"Kansas"	"20"	"2001"	"2001"	11	2702162	Unreliable	Unreliable
	"Kansas"	"20"	"2002"	"2002"	18	2713535	Unreliable	Unreliable
	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Kansas"	"20"	"2004"	"2004"	22	2734373	0.8	0.8
	"Kansas"	"20"	"2005"	"2005"	17	2745299	Unreliable	Unreliable
	"Kansas"	"20"	"2006"	"2006"	19	2762931	Unreliable	Unreliable
	"Kansas"	"20"	"2007"	"2007"	19	2783785	Unreliable	Unreliable
	"Kansas"	"20"	"2008"	"2008"	18	2808076	Unreliable	Unreliable
	"Kansas"	"20"	"2009"	"2009"	35	2832704	1.2	1.3
	"Kansas"	"20"	"2010"	"2010"	18	2853118	Unreliable	Unreliable
	"Kansas"	"20"	"2011"	"2011"	23	2871238	0.8	0.8
	"Kansas"	"20"	"2012"	"2012"	44	2885905	1.5	1.6
	"Kansas"	"20"	"2013"	"2013"	37	2893957	1.3	1.3
	"Kansas"	"20"	"2014"	"2014"	39	2904021	1.3	1.4
	"Kansas"	"20"	"2015"	"2015"	36	2911641	1.2	1.3
	"Kansas"	"20"	"2016"	"2016"	27	2907289	0.9	1.0
	"Kansas"	"20"	"2017"	"2017"	32	2913123	1.1	1.2
	"Kentucky"	"21"	"1999"	"1999"	10	4018053	Unreliable	Unreliable
	"Kentucky"	"21"	"2000"	"2000"	Suppressed	4041769	Suppressed	Suppressed
	"Kentucky"	"21"	"2001"	"2001"	19	4068132	Unreliable	Unreliable
	"Kentucky"	"21"	"2002"	"2002"	30	4089875	0.7	0.7
	"Kentucky"	"21"	"2003"	"2003"	27	4117170	0.7	0.7
	"Kentucky"	"21"	"2004"	"2004"	32	4146101	0.8	0.8
	"Kentucky"	"21"	"2005"	"2005"	31	4182742	0.7	0.7
	"Kentucky"	"21"	"2006"	"2006"	50	4219239	1.2	1.2
	"Kentucky"	"21"	"2007"	"2007"	37	4256672	0.9	0.9
	"Kentucky"	"21"	"2008"	"2008"	44	4289878	1.0	1.0
	"Kentucky"	"21"	"2009"	"2009"	65	4317074	1.5	1.5
	"Kentucky"	"21"	"2010"	"2010"	53	4339367	1.2	1.3
	"Kentucky"	"21"	"2011"	"2011"	76	4369356	1.7	1.7
	"Kentucky"	"21"	"2012"	"2012"	70	4380415	1.6	1.6
	"Kentucky"	"21"	"2013"	"2013"	76	4395295	1.7	1.7
	"Kentucky"	"21"	"2014"	"2014"	179	4413457	4.1	4.3
	"Kentucky"	"21"	"2015"	"2015"	323	4425092	7.3	7.9
	"Kentucky"	"21"	"2016"	"2016"	465	4436974	10.5	11.5
	"Kentucky"	"21"	"2017"	"2017"	780	4454189	17.5	19.1
	"Louisiana"	"22"	"1999"	"1999"	Suppressed	4460811	Suppressed	Suppressed
	"Louisiana"	"22"	"2000"	"2000"	Suppressed	4468976	Suppressed	Suppressed
	"Louisiana"	"22"	"2001"	"2001"	Suppressed	4477875	Suppressed	Suppressed
	"Louisiana"	"22"	"2002"	"2002"	Suppressed	4497267	Suppressed	Suppressed
	"Louisiana"	"22"	"2003"	"2003"	Suppressed	4521042	Suppressed	Suppressed
	"Louisiana"	"22"	"2004"	"2004"	13	4552238	Unreliable	Unreliable
	"Louisiana"	"22"	"2005"	"2005"	Suppressed	4576628	Suppressed	Suppressed
	"Louisiana"	"22"	"2006"	"2006"	14	4302665	Unreliable	Unreliable
	"Louisiana"	"22"	"2007"	"2007"	21	4375581	0.5	0.5
	"Louisiana"	"22"	"2008"	"2008"	10	4435586	Unreliable	Unreliable
	"Louisiana"	"22"	"2009"	"2009"	16	4491648	Unreliable	Unreliable
	"Louisiana"	"22"	"2010"	"2010"	21	4533372	0.5	0.5
	"Louisiana"	"22"	"2011"	"2011"	20	4574836	0.4	0.4
	"Louisiana"	"22"	"2012"	"2012"	19	4601893	Unreliable	Unreliable
	"Louisiana"	"22"	"2013"	"2013"	26	4625470	0.6	0.6
	"Louisiana"	"22"	"2014"	"2014"	29	4649676	0.6	0.7
	"Louisiana"	"22"	"2015"	"2015"	38	4670724	0.8	0.8
