"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	Suppressed	276908	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	20	1020551	2.0	2.2
	"Barbour County, AL"	"01005"	Suppressed	131687	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	112912	Suppressed	Suppressed
	"Blount County, AL"	"01009"	13	288981	Unreliable	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	52770	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	100538	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	577611	Suppressed	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	169917	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	129681	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	219833	Suppressed	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	65857	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	123302	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	67452	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	74916	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	256158	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	272133	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	63093	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	53843	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	188185	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	69710	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	409331	Suppressed	Suppressed
	"Dale County, AL"	"01045"	Suppressed	247385	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	204061	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	355725	Suppressed	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	406823	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	188680	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	20	515838	3.9	4.4
	"Fayette County, AL"	"01057"	Suppressed	83556	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	157952	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	133251	Suppressed	Suppressed
	"Greene County, AL"	"01063"	Suppressed	42528	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	75422	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	86018	Suppressed	Suppressed
	"Houston County, AL"	"01069"	Suppressed	520436	Suppressed	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	262082	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	256	3299357	7.8	8.0
	"Lamar County, AL"	"01075"	Suppressed	70072	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	463345	Suppressed	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	166472	Suppressed	Suppressed
	"Lee County, AL"	"01081"	Suppressed	782776	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	458450	Suppressed	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	52175	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	95936	Suppressed	Suppressed
	"Madison County, AL"	"01089"	26	1768293	1.5	1.5
	"Marengo County, AL"	"01091"	Suppressed	99341	Suppressed	Suppressed
	"Marion County, AL"	"01093"	Suppressed	150604	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	474826	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	14	2073388	Unreliable	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	108713	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	1132362	Suppressed	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	596789	Suppressed	Suppressed
	"Perry County, AL"	"01105"	Suppressed	48411	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	101130	Suppressed	Suppressed
	"Pike County, AL"	"01109"	Suppressed	166327	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	113284	Suppressed	Suppressed
	"Russell County, AL"	"01113"	Suppressed	294070	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	15	436297	Unreliable	Unreliable
	"Shelby County, AL"	"01117"	32	1043775	3.1	3.3
	"Sumter County, AL"	"01119"	Suppressed	65357	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	403448	Suppressed	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	204620	Suppressed	Suppressed
	"Tuscaloosa County, AL"	"01125"	11	1020922	Unreliable	Unreliable
	"Walker County, AL"	"01127"	Suppressed	325788	Suppressed	Suppressed
	"Washington County, AL"	"01129"	Suppressed	83802	Suppressed	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	55169	Suppressed	Suppressed
	"Winston County, AL"	"01133"	Suppressed	119700	Suppressed	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	16459	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	28373	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	38	1493203	2.5	2.4
	"Bethel Census Area, AK"	"02050"	Suppressed	89616	Suppressed	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	4574	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	9734	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	24881	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	499732	Suppressed	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	12714	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	8438	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	162384	Suppressed	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	289806	Suppressed	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	68827	Suppressed	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	69190	Suppressed	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	8024	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	14	505066	Unreliable	Unreliable
	"Nome Census Area, AK"	"02180"	Suppressed	49393	Suppressed	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	48464	Suppressed	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	38511	Suppressed	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	12767	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	25527	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5786	Suppressed	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	44302	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	4338	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3140	Suppressed	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	34519	Suppressed	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	47246	Suppressed	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	40357	Suppressed	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	9678	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6174	Suppressed	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	3096	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	27666	Suppressed	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	359954	Suppressed	Suppressed
	"Cochise County, AZ"	"04003"	16	633874	Unreliable	Unreliable
	"Coconino County, AZ"	"04005"	Suppressed	695002	Suppressed	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	266388	Suppressed	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	188170	Suppressed	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	46992	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	101625	Suppressed	Suppressed
	"Maricopa County, AZ"	"04013"	387	20814580	1.9	1.9
	"Mohave County, AZ"	"04015"	11	1023577	Unreliable	Unreliable
	"Navajo County, AZ"	"04017"	Suppressed	542682	Suppressed	Suppressed
	"Pima County, AZ"	"04019"	97	5050070	1.9	2.1
	"Pinal County, AZ"	"04021"	24	2046629	1.2	1.2
	"Santa Cruz County, AZ"	"04023"	Suppressed	232121	Suppressed	Suppressed
	"Yavapai County, AZ"	"04025"	19	1109962	Unreliable	Unreliable
	"Yuma County, AZ"	"04027"	Suppressed	1021888	Suppressed	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	91985	Suppressed	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	103844	Suppressed	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	205284	Suppressed	Suppressed
	"Benton County, AR"	"05007"	22	1253881	1.8	1.8
	"Boone County, AR"	"05009"	Suppressed	186499	Suppressed	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	55351	Suppressed	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	26063	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	138846	Suppressed	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	55123	Suppressed	Suppressed
	"Clark County, AR"	"05019"	Suppressed	112902	Suppressed	Suppressed
	"Clay County, AR"	"05021"	Suppressed	75469	Suppressed	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	127099	Suppressed	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	41796	Suppressed	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	119739	Suppressed	Suppressed
	"Conway County, AR"	"05029"	Suppressed	105200	Suppressed	Suppressed
	"Craighead County, AR"	"05031"	10	521310	Unreliable	Unreliable
	"Crawford County, AR"	"05033"	Suppressed	310303	Suppressed	Suppressed
	"Crittenden County, AR"	"05035"	10	246242	Unreliable	Unreliable
	"Cross County, AR"	"05037"	Suppressed	85959	Suppressed	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	38154	Suppressed	Suppressed
	"Desha County, AR"	"05041"	Suppressed	60374	Suppressed	Suppressed
	"Drew County, AR"	"05043"	Suppressed	93383	Suppressed	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	607781	Suppressed	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	89057	Suppressed	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	60811	Suppressed	Suppressed
	"Garland County, AR"	"05051"	10	487807	Unreliable	Unreliable
	"Grant County, AR"	"05053"	Suppressed	90512	Suppressed	Suppressed
	"Greene County, AR"	"05055"	Suppressed	220638	Suppressed	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	110720	Suppressed	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	167242	Suppressed	Suppressed
	"Howard County, AR"	"05061"	Suppressed	67236	Suppressed	Suppressed
	"Independence County, AR"	"05063"	Suppressed	185680	Suppressed	Suppressed
	"Izard County, AR"	"05065"	Suppressed	67418	Suppressed	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	86843	Suppressed	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	356184	Suppressed	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	130720	Suppressed	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	35068	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	83981	Suppressed	Suppressed
	"Lee County, AR"	"05077"	Suppressed	48011	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	69172	Suppressed	Suppressed
	"Little River County, AR"	"05081"	Suppressed	62544	Suppressed	Suppressed
	"Logan County, AR"	"05083"	Suppressed	109268	Suppressed	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	359081	Suppressed	Suppressed
	"Madison County, AR"	"05087"	Suppressed	79619	Suppressed	Suppressed
	"Marion County, AR"	"05089"	Suppressed	81735	Suppressed	Suppressed
	"Miller County, AR"	"05091"	Suppressed	218509	Suppressed	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	217732	Suppressed	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	36917	Suppressed	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	45076	Suppressed	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	42805	Suppressed	Suppressed
	"Newton County, AR"	"05101"	Suppressed	39645	Suppressed	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	122154	Suppressed	Suppressed
	"Perry County, AR"	"05105"	Suppressed	51259	Suppressed	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	97389	Suppressed	Suppressed
	"Pike County, AR"	"05109"	Suppressed	54583	Suppressed	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	120608	Suppressed	Suppressed
	"Polk County, AR"	"05113"	Suppressed	101138	Suppressed	Suppressed
	"Pope County, AR"	"05115"	Suppressed	316752	Suppressed	Suppressed
	"Prairie County, AR"	"05117"	Suppressed	41468	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	36	1963856	1.8	1.7
	"Randolph County, AR"	"05121"	Suppressed	87737	Suppressed	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	132874	Suppressed	Suppressed
	"Saline County, AR"	"05125"	Suppressed	585609	Suppressed	Suppressed
	"Scott County, AR"	"05127"	Suppressed	52878	Suppressed	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	39726	Suppressed	Suppressed
	"Sebastian County, AR"	"05131"	Suppressed	637798	Suppressed	Suppressed
	"Sevier County, AR"	"05133"	Suppressed	86107	Suppressed	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	85417	Suppressed	Suppressed
	"Stone County, AR"	"05137"	Suppressed	62607	Suppressed	Suppressed
	"Union County, AR"	"05139"	Suppressed	200401	Suppressed	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	83688	Suppressed	Suppressed
	"Washington County, AR"	"05143"	14	1122724	Unreliable	Unreliable
	"White County, AR"	"05145"	Suppressed	394515	Suppressed	Suppressed
	"Woodruff County, AR"	"05147"	Suppressed	33935	Suppressed	Suppressed
	"Yell County, AR"	"05149"	Suppressed	108632	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	34	8138921	0.4	0.4
	"Alpine County, CA"	"06003"	Suppressed	5576	Suppressed	Suppressed
	"Amador County, CA"	"06005"	Suppressed	186271	Suppressed	Suppressed
	"Butte County, CA"	"06007"	Suppressed	1127900	Suppressed	Suppressed
	"Calaveras County, CA"	"06009"	Suppressed	224808	Suppressed	Suppressed
	"Colusa County, CA"	"06011"	Suppressed	107652	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	33	5614855	0.6	0.6
	"Del Norte County, CA"	"06015"	Suppressed	137349	Suppressed	Suppressed
	"El Dorado County, CA"	"06017"	Suppressed	923888	Suppressed	Suppressed
	"Fresno County, CA"	"06019"	28	4865277	0.6	0.6
	"Glenn County, CA"	"06021"	Suppressed	140091	Suppressed	Suppressed
	"Humboldt County, CA"	"06023"	13	678429	Unreliable	Unreliable
	"Imperial County, CA"	"06025"	Suppressed	899579	Suppressed	Suppressed
	"Inyo County, CA"	"06027"	Suppressed	91307	Suppressed	Suppressed
	"Kern County, CA"	"06029"	36	4398796	0.8	0.8
	"Kings County, CA"	"06031"	Suppressed	752080	Suppressed	Suppressed
	"Lake County, CA"	"06033"	13	320997	Unreliable	Unreliable
	"Lassen County, CA"	"06035"	Suppressed	157290	Suppressed	Suppressed
	"Los Angeles County, CA"	"06037"	269	50605487	0.5	0.5
	"Madera County, CA"	"06039"	Suppressed	773522	Suppressed	Suppressed
	"Marin County, CA"	"06041"	Suppressed	1301942	Suppressed	Suppressed
	"Mariposa County, CA"	"06043"	Suppressed	87947	Suppressed	Suppressed
	"Mendocino County, CA"	"06045"	14	438356	Unreliable	Unreliable
	"Merced County, CA"	"06047"	14	1339381	Unreliable	Unreliable
	"Modoc County, CA"	"06049"	Suppressed	44789	Suppressed	Suppressed
	"Mono County, CA"	"06051"	Suppressed	70129	Suppressed	Suppressed
	"Monterey County, CA"	"06053"	Suppressed	2167207	Suppressed	Suppressed
	"Napa County, CA"	"06055"	Suppressed	707588	Suppressed	Suppressed
	"Nevada County, CA"	"06057"	Suppressed	494891	Suppressed	Suppressed
	"Orange County, CA"	"06059"	211	15792586	1.3	1.3
	"Placer County, CA"	"06061"	Suppressed	1881091	Suppressed	Suppressed
	"Plumas County, CA"	"06063"	Suppressed	93243	Suppressed	Suppressed
	"Riverside County, CA"	"06065"	72	11793811	0.6	0.6
	"Sacramento County, CA"	"06067"	44	7490567	0.6	0.6
	"San Benito County, CA"	"06069"	Suppressed	294383	Suppressed	Suppressed
	"San Bernardino County, CA"	"06071"	40	10626623	0.4	0.4
	"San Diego County, CA"	"06073"	265	16429638	1.6	1.5
	"San Francisco County, CA"	"06075"	74	4309977	1.7	1.4
	"San Joaquin County, CA"	"06077"	29	3625215	0.8	0.8
	"San Luis Obispo County, CA"	"06079"	10	1403219	Unreliable	Unreliable
	"San Mateo County, CA"	"06081"	17	3807296	Unreliable	Unreliable
	"Santa Barbara County, CA"	"06083"	19	2215454	Unreliable	Unreliable
	"Santa Clara County, CA"	"06085"	50	9532245	0.5	0.5
	"Santa Cruz County, CA"	"06087"	19	1365939	Unreliable	Unreliable
	"Shasta County, CA"	"06089"	11	897869	Unreliable	Unreliable
	"Sierra County, CA"	"06091"	Suppressed	14963	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	Suppressed	218437	Suppressed	Suppressed
	"Solano County, CA"	"06095"	Suppressed	2177676	Suppressed	Suppressed
	"Sonoma County, CA"	"06097"	25	2504750	1.0	1.1
	"Stanislaus County, CA"	"06099"	Suppressed	2685335	Suppressed	Suppressed
	"Sutter County, CA"	"06101"	Suppressed	480959	Suppressed	Suppressed
	"Tehama County, CA"	"06103"	Suppressed	316634	Suppressed	Suppressed
	"Trinity County, CA"	"06105"	Suppressed	65178	Suppressed	Suppressed
	"Tulare County, CA"	"06107"	Suppressed	2297134	Suppressed	Suppressed
	"Tuolumne County, CA"	"06109"	Suppressed	269466	Suppressed	Suppressed
	"Ventura County, CA"	"06111"	51	4240295	1.2	1.2
	"Yolo County, CA"	"06113"	Suppressed	1060117	Suppressed	Suppressed
	"Yuba County, CA"	"06115"	Suppressed	374104	Suppressed	Suppressed
	"Adams County, CO"	"08001"	44	2442602	1.8	1.8
	"Alamosa County, CO"	"08003"	Suppressed	82131	Suppressed	Suppressed
	"Arapahoe County, CO"	"08005"	36	3137107	1.1	1.1
	"Archuleta County, CO"	"08007"	Suppressed	62959	Suppressed	Suppressed
	"Baca County, CO"	"08009"	Suppressed	18072	Suppressed	Suppressed
	"Bent County, CO"	"08011"	Suppressed	28947	Suppressed	Suppressed
	"Boulder County, CO"	"08013"	14	1587493	Unreliable	Unreliable
	"Broomfield County, CO"	"08014"	Suppressed	321544	Suppressed	Suppressed
	"Chaffee County, CO"	"08015"	Suppressed	94227	Suppressed	Suppressed
	"Cheyenne County, CO"	"08017"	Suppressed	9283	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	Suppressed	46531	Suppressed	Suppressed
	"Conejos County, CO"	"08021"	Suppressed	40985	Suppressed	Suppressed
	"Costilla County, CO"	"08023"	Suppressed	18167	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	27748	Suppressed	Suppressed
	"Custer County, CO"	"08027"	Suppressed	22567	Suppressed	Suppressed
	"Delta County, CO"	"08029"	Suppressed	151342	Suppressed	Suppressed
	"Denver County, CO"	"08031"	65	3393583	1.9	1.8
	"Dolores County, CO"	"08033"	Suppressed	10108	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	Suppressed	1606919	Suppressed	Suppressed
	"Eagle County, CO"	"08037"	Suppressed	267747	Suppressed	Suppressed
	"Elbert County, CO"	"08039"	Suppressed	123536	Suppressed	Suppressed
	"El Paso County, CO"	"08041"	60	3380550	1.8	1.8
	"Fremont County, CO"	"08043"	Suppressed	234650	Suppressed	Suppressed
	"Garfield County, CO"	"08045"	Suppressed	290863	Suppressed	Suppressed
	"Gilpin County, CO"	"08047"	Suppressed	29224	Suppressed	Suppressed
	"Grand County, CO"	"08049"	Suppressed	73779	Suppressed	Suppressed
	"Gunnison County, CO"	"08051"	Suppressed	80646	Suppressed	Suppressed
	"Hinsdale County, CO"	"08053"	Suppressed	3955	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	Suppressed	32812	Suppressed	Suppressed
	"Jackson County, CO"	"08057"	Suppressed	6859	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	35	2822275	1.2	1.3
	"Kiowa County, CO"	"08061"	Suppressed	6997	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	Suppressed	39220	Suppressed	Suppressed
	"Lake County, CO"	"08065"	Suppressed	37544	Suppressed	Suppressed
	"La Plata County, CO"	"08067"	Suppressed	273173	Suppressed	Suppressed
	"Larimer County, CO"	"08069"	23	1657656	1.4	1.4
	"Las Animas County, CO"	"08071"	Suppressed	70897	Suppressed	Suppressed
	"Lincoln County, CO"	"08073"	Suppressed	27686	Suppressed	Suppressed
	"Logan County, CO"	"08075"	Suppressed	110825	Suppressed	Suppressed
	"Mesa County, CO"	"08077"	22	746021	2.9	3.3
	"Mineral County, CO"	"08079"	Suppressed	3643	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	Suppressed	65208	Suppressed	Suppressed
	"Montezuma County, CO"	"08083"	Suppressed	130721	Suppressed	Suppressed
	"Montrose County, CO"	"08085"	Suppressed	205787	Suppressed	Suppressed
	"Morgan County, CO"	"08087"	Suppressed	141558	Suppressed	Suppressed
	"Otero County, CO"	"08089"	Suppressed	92155	Suppressed	Suppressed
	"Ouray County, CO"	"08091"	Suppressed	23528	Suppressed	Suppressed
	"Park County, CO"	"08093"	Suppressed	84047	Suppressed	Suppressed
	"Phillips County, CO"	"08095"	Suppressed	21648	Suppressed	Suppressed
	"Pitkin County, CO"	"08097"	Suppressed	88434	Suppressed	Suppressed
	"Prowers County, CO"	"08099"	Suppressed	60271	Suppressed	Suppressed
	"Pueblo County, CO"	"08101"	12	818515	Unreliable	Unreliable
	"Rio Blanco County, CO"	"08103"	Suppressed	33050	Suppressed	Suppressed
	"Rio Grande County, CO"	"08105"	Suppressed	57733	Suppressed	Suppressed
	"Routt County, CO"	"08107"	Suppressed	121376	Suppressed	Suppressed
	"Saguache County, CO"	"08109"	Suppressed	31670	Suppressed	Suppressed
	"San Juan County, CO"	"08111"	Suppressed	3522	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	Suppressed	39381	Suppressed	Suppressed
	"Sedgwick County, CO"	"08115"	Suppressed	11858	Suppressed	Suppressed
	"Summit County, CO"	"08117"	Suppressed	149269	Suppressed	Suppressed
	"Teller County, CO"	"08119"	Suppressed	118738	Suppressed	Suppressed
	"Washington County, CO"	"08121"	Suppressed	24293	Suppressed	Suppressed
	"Weld County, CO"	"08123"	14	1432194	Unreliable	Unreliable
	"Yuma County, CO"	"08125"	Suppressed	50677	Suppressed	Suppressed
	"Fairfield County, CT"	"09001"	264	4727493	5.6	5.9
	"Hartford County, CT"	"09003"	477	4479875	10.6	10.8
	"Litchfield County, CT"	"09005"	77	920268	8.4	9.7
	"Middlesex County, CT"	"09007"	82	821307	10.0	11.3
	"New Haven County, CT"	"09009"	356	4300344	8.3	8.6
	"New London County, CT"	"09011"	142	1358523	10.5	10.9
	"Tolland County, CT"	"09013"	75	756743	9.9	11.4
	"Windham County, CT"	"09015"	71	583726	12.2	13.1
	"Kent County, DE"	"10001"	64	866587	7.4	8.0
	"New Castle County, DE"	"10003"	200	2776021	7.2	7.2
	"Sussex County, DE"	"10005"	82	1078693	7.6	9.1
	"District of Columbia, DC"	"11001"	356	3352712	10.6	10.4
	"Alachua County, FL"	"12001"	17	1300235	Unreliable	Unreliable
	"Baker County, FL"	"12003"	Suppressed	137746	Suppressed	Suppressed
	"Bay County, FL"	"12005"	45	903144	5.0	5.1
	"Bradford County, FL"	"12007"	Suppressed	134444	Suppressed	Suppressed
	"Brevard County, FL"	"12009"	77	2844088	2.7	3.3
	"Broward County, FL"	"12011"	459	9450014	4.9	4.9
	"Calhoun County, FL"	"12013"	Suppressed	72582	Suppressed	Suppressed
	"Charlotte County, FL"	"12015"	17	866823	Unreliable	Unreliable
	"Citrus County, FL"	"12017"	26	708974	3.7	5.3
	"Clay County, FL"	"12019"	91	1020705	8.9	9.7
	"Collier County, FL"	"12021"	72	1783740	4.0	5.3
	"Columbia County, FL"	"12023"	Suppressed	342659	Suppressed	Suppressed
	"DeSoto County, FL"	"12027"	Suppressed	177649	Suppressed	Suppressed
	"Dixie County, FL"	"12029"	Suppressed	81023	Suppressed	Suppressed
	"Duval County, FL"	"12031"	577	4560752	12.7	12.7
	"Escambia County, FL"	"12033"	44	1556178	2.8	2.9
	"Flagler County, FL"	"12035"	16	526576	Unreliable	Unreliable
	"Franklin County, FL"	"12037"	Suppressed	58802	Suppressed	Suppressed
	"Gadsden County, FL"	"12039"	Suppressed	230588	Suppressed	Suppressed
	"Gilchrist County, FL"	"12041"	Suppressed	86082	Suppressed	Suppressed
	"Glades County, FL"	"12043"	Suppressed	68374	Suppressed	Suppressed
	"Gulf County, FL"	"12045"	Suppressed	79794	Suppressed	Suppressed
	"Hamilton County, FL"	"12047"	Suppressed	71242	Suppressed	Suppressed
	"Hardee County, FL"	"12049"	Suppressed	137261	Suppressed	Suppressed
	"Hendry County, FL"	"12051"	Suppressed	194732	Suppressed	Suppressed
	"Hernando County, FL"	"12053"	18	898123	Unreliable	Unreliable
	"Highlands County, FL"	"12055"	Suppressed	499143	Suppressed	Suppressed
	"Hillsborough County, FL"	"12057"	174	6741730	2.6	2.5
	"Holmes County, FL"	"12059"	Suppressed	97736	Suppressed	Suppressed
	"Indian River County, FL"	"12061"	Suppressed	740614	Suppressed	Suppressed
	"Jackson County, FL"	"12063"	Suppressed	242881	Suppressed	Suppressed
	"Jefferson County, FL"	"12065"	Suppressed	70375	Suppressed	Suppressed
	"Lafayette County, FL"	"12067"	Suppressed	43414	Suppressed	Suppressed
	"Lake County, FL"	"12069"	37	1631012	2.3	3.0
	"Lee County, FL"	"12071"	233	3504170	6.6	8.1
	"Leon County, FL"	"12073"	22	1430219	1.5	1.5
	"Levy County, FL"	"12075"	Suppressed	199405	Suppressed	Suppressed
	"Liberty County, FL"	"12077"	Suppressed	41484	Suppressed	Suppressed
	"Madison County, FL"	"12079"	Suppressed	92327	Suppressed	Suppressed
	"Manatee County, FL"	"12081"	318	1818680	17.5	22.0
	"Marion County, FL"	"12083"	66	1723156	3.8	4.6
	"Martin County, FL"	"12085"	27	779562	3.5	5.1
	"Miami-Dade County, FL"	"12086"	501	13437908	3.7	3.6
	"Monroe County, FL"	"12087"	23	387059	5.9	6.3
	"Nassau County, FL"	"12089"	35	394116	8.9	10.2
	"Okaloosa County, FL"	"12091"	52	993127	5.2	5.7
	"Okeechobee County, FL"	"12093"	Suppressed	199867	Suppressed	Suppressed
	"Orange County, FL"	"12095"	309	6429736	4.8	4.6
	"Osceola County, FL"	"12097"	65	1620903	4.0	4.2
	"Palm Beach County, FL"	"12099"	604	7107630	8.5	9.7
	"Pasco County, FL"	"12101"	65	2496753	2.6	2.9
	"Pinellas County, FL"	"12103"	115	4748340	2.4	2.7
	"Polk County, FL"	"12105"	68	3260371	2.1	2.3
